Наименование,Цена,Ссылка на изображение,Краткое описание
"
        Honda NT 650
              ","
$ 4 500
                                                             
                                                                                   395 640 сом
                                                                      ",https://im.mashina.kg/tachka/images//e/0/a/e0a7d482e4b1cdcc95320e325b9deca9_240x180.jpg,        мотоцикл                    
"
        Honda Dio
              ","
$ 500
                                                             
                                                                                   44 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//4/2/6/426c5236cc66a2af8c3014dcb9bc123b_240x180.jpg,        скутер                    
"
        Honda CB 125
              ","
$ 1 297
                                                             
                                                                                   114 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//9/8/f/98f0ca2b48166442eb70cf1086a4e421_240x180.jpg,        мотоцикл                    
"
        Suzuki A 100
              ","
$ 444
                                                             
                                                                                   39 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//2/0/0/2000fe9f1f74d99caa1c6d9205722fea_240x180.jpg,        скутер                    
"
        Honda Dio
              ","
$ 808
                                                             
                                                                                   71 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//c/3/c/c3c9b45739d23bc23783ee3aaaf34959_240x180.jpg,        скутер                    
"
        ИЖ Планета
              ","
$ 227
                                                             
                                                                                   20 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//2/3/a/23a6365443016df5003f4f5e63d48edd_240x180.jpg,        мотоцикл                    
"
        Honda XL
              ","
$ 2 900
                                                             
                                                                                   254 968 сом
                                                                      ",https://im.mashina.kg/tachka/images//1/2/6/1269d16ad7f66d1ed4c4e869fab1beb9_240x180.jpg,        мотоцикл                    
"
        Yamaha FZR 600
              ","
$ 4 800
                                                             
                                                                                   422 016 сом
                                                                      ",https://im.mashina.kg/tachka/images//5/5/3/553a956a9ca96aa20ca8df410b0d0eea_240x180.jpg,        мотоцикл                    
"
        Yamaha YZF 1000 R1
              ","
$ 9 800
                                                             
                                                                                   861 616 сом
                                                                      ",https://im.mashina.kg/tachka/images//0/2/8/028f31afa2adf3f4667ed9df8800ae00_240x180.jpg,        мотоцикл                    
"
        Viper Booster
              ","
$ 967
                                                             
                                                                                   85 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//4/e/0/4e0d70804de012d5f76a0f99667ac669_240x180.jpg,        скутер                    
"
        Suzuki SkyWave
              ","
$ 2 161
                                                             
                                                                                   190 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//a/b/1/ab14a231c0e0af0bb16fbf6dfcbe44dc_240x180.jpg,        скутер                    
"
        Daelim Citi Ace 110
              ","
$ 796
                                                             
                                                                                   70 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//f/6/7/f67e3e3fa7778d5eec4d00c534e22f68_240x180.jpg,        скутер                    
"
        Yamaha Night MAX
              ","
$ 2 900
                                                             
                                                                                   254 968 сом
                                                                      ",https://im.mashina.kg/tachka/images//c/3/3/c33cb64e81145651771fadf69d4f5c95_240x180.jpg,        скутер                    
"
        Honda PCX
              ","
$ 3 100
                                                             
                                                                                   272 552 сом
                                                                      ",https://im.mashina.kg/tachka/images//f/a/4/fa45ab213b915a13b6c420823c75f0d2_240x180.jpg,        скутер                    
"
        Honda Zoomer
              ","
$ 2 500
                                                             
                                                                                   219 800 сом
                                                                      ",https://im.mashina.kg/tachka/images//1/3/7/13749ad7c2dffd215958a80befe60bf0_240x180.jpg,        скутер                    
"
        Honda Julio
              ","
$ 2 350
                                                             
                                                                                   206 612 сом
                                                                      ",https://im.mashina.kg/tachka/images//5/c/5/5c513c04319e27c56aa20b83e0ddcb80_240x180.jpg,        скутер                    
"
        Vespa Primavera
              ","
$ 5 500
                                                             
                                                                                   483 670 сом
                                                                      ",https://im.mashina.kg/tachka/images//d/2/0/d209b749619c1b7da0c1ec153120721b_240x180.jpg,        скутер                    
"
        Yamaha R
              ","
$ 5 400
                                                             
                                                                                   474 768 сом
                                                                      ",https://im.mashina.kg/tachka/images//a/c/4/ac4487e90282599257c9aca5146a888a_240x180.jpg,        мотоцикл                    
"
        Honda CBR 1000
              ","
$ 6 900
                                                             
                                                                                   606 648 сом
                                                                      ",https://im.mashina.kg/tachka/images//5/f/2/5f214d5b9a16f106542fedbd24180ef8_240x180.jpg,        мотоцикл                    
"
        Yamaha R
              ","
$ 3 700
                                                             
                                                                                   325 304 сом
                                                                      ",https://im.mashina.kg/tachka/images//4/f/5/4f55165f18bb13fba49167cf36063aeb_240x180.jpg,        мотоцикл                    
"
        Yamaha WR
              ","
$ 8 500
                                                             
                                                                                   747 320 сом
                                                                      ",https://im.mashina.kg/tachka/images//1/3/e/13e436a77d0e99682648eee1fd643c72_240x180.jpg,        мотоцикл                    
"
        Kawasaki Z 900
              ","
$ 10 500
                                                             
                                                                                   923 160 сом
                                                                      ",https://im.mashina.kg/tachka/images//7/9/0/79049f2ae9a4ee3dcc87cb59eb8693a6_240x180.jpg,        мотоцикл                    
"
        CFMoto CF800-U2 (Tracker 800)
              ","
$ 25 000
                                                             
                                                                                   2 198 500 сом
                                                                      ",https://im.mashina.kg/tachka/images//0/d/4/0d44e3b54e5228d12f675e43002f9c5e_240x180.jpg,        мотовездеход                    
"
        Yamaha YZF-R3
              ","
$ 3 300
                                                             
                                                                                   290 136 сом
                                                                      ",https://im.mashina.kg/tachka/images//5/1/6/516ba939ac18d62fa787bfa002c7b12b_240x180.jpg,        мотоцикл                    
"
        BRP Outlander 1000
              ","
$ 15 000
                                                             
                                                                                   1 318 800 сом
                                                                      ",https://im.mashina.kg/tachka/images//8/2/8/82896bec9425619fa863e6fa7c7b0458_240x180.jpg,        мотовездеход                    
"
        Китай (NoName) Электроскутер
              ","
$ 800
                                                             
                                                                                   70 336 сом
                                                                      ",https://im.mashina.kg/tachka/images//2/7/9/279596a0efea6b2ddf1f34b03de6a58e_240x180.jpg,        скутер                    
"
        Kawasaki ZX
              ","
$ 12 500
                                                             
                                                                                   1 099 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//a/d/6/ad6aa48c9c35373ef4653af0fa1a39e6_240x180.jpg,        мотоцикл                    
"
        Yamaha FZR 1000
              ","
$ 8 300
                                                             
                                                                                   729 736 сом
                                                                      ",https://im.mashina.kg/tachka/images//1/6/c/16cee39a5855ffb3ca7f44bf4bc432eb_240x180.jpg,        мотоцикл                    
"
        Kawasaki ZX
              ","
$ 4 900
                                                             
                                                                                   430 808 сом
                                                                      ",https://im.mashina.kg/tachka/images//b/5/c/b5cf0bdc60325690f5e5b97c3fd5d57e_240x180.jpg,        мотоцикл                    
"
        Suzuki GSX 750
              ","
$ 1 763
                                                             
                                                                                   155 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//1/1/8/11895c40b24662f8cf4272597b16bccb_240x180.jpg,        мотоцикл                    
"
        Honda VT 1300
              ","
$ 10 000
                                                             
                                                                                   879 200 сом
                                                                      ",https://im.mashina.kg/tachka/images//3/5/2/35257bf625144c1385b360a4a6c34855_240x180.jpg,        мотоцикл                    
"
        Honda CBF
              ","
$ 3 300
                                                             
                                                                                   290 136 сом
                                                                      ",https://im.mashina.kg/tachka/images//b/5/9/b5926ec15ff8cd6d20c08890934ac1d6_240x180.jpg,        мотоцикл                    
"
        Yamaha Mio
              ","
$ 626
                                                             
                                                                                   55 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//c/6/6/c66b844cca8cf6131700bb2122c50f22_240x180.jpg,        скутер                    
"
        Suzuki DR 200 SE
              ","
$ 1 024
                                                             
                                                                                   90 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//8/5/d/85daf9e18105afd27a93e3ba31591db5_240x180.jpg,        мотоцикл                    
"
        Yamaha TownMate T90D
              ","
$ 682
                                                             
                                                                                   60 000 сом
                                                                      ",,        скутер                    
"
        KAYO T6
              ","
$ 1 990
                                                             
                                                                                   175 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//3/d/c/3dcb5b6472ae058260777c013164379a_240x180.jpg,        мотоцикл                    
"
        Китай (NoName) Скутеры
              ","
$ 626
                                                             
                                                                                   55 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//9/f/8/9f87266d98dcdcd95a8a94c1fe52dfe9_240x180.jpg,        скутер                    
"
        Honda VTX
              ","
$ 9 999
                                                             
                                                                                   879 112 сом
                                                                      ",https://im.mashina.kg/tachka/images//a/3/8/a38d04b7dd51c54722192fa38e2369cd_240x180.jpg,        мотоцикл                    
"
        Suzuki GSX-S 1000
              ","
$ 7 300
                                                             
                                                                                   641 816 сом
                                                                      ",https://im.mashina.kg/tachka/images//c/2/b/c2b522cf7a921759da1759c68c62ef3a_240x180.jpg,        мотоцикл                    
"
        Aprilia Aprilia Mana 850
              ","
$ 1 024
                                                             
                                                                                   90 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//a/0/7/a0773ef43d15c8b9a808f8d8ed109f93_240x180.jpg,        мотоцикл                    
"
        Yamaha RD 200
              ","
$ 1 137
                                                             
                                                                                   100 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//5/c/2/5c281581493b8bb0a00d4cb566d9f43c_240x180.jpg,        мотоцикл                    
"
        Kawasaki Z 800
              ","
$ 9 000
                                                             
                                                                                   791 280 сом
                                                                      ",https://im.mashina.kg/tachka/images//a/5/d/a5d80e7888fe59327e79bfe971d4581b_240x180.jpg,        мотоцикл                    
"
        Kawasaki ZZR 600
              ","
$ 1 820
                                                             
                                                                                   160 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//3/e/f/3ef3fa7d1e3421f15aa07bc16f34c32e_240x180.jpg,        мотоцикл                    
"
        Honda Today
              ","
$ 614
                                                             
                                                                                   54 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//a/9/b/a9bc9aa0429c7018724d2fe0aa9f0750_240x180.jpg,        скутер                    
"
        Suzuki Lets
              ","
$ 569
                                                             
                                                                                   50 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//7/b/7/7b7198b94ef104351a864d4c012248dd_240x180.jpg,        скутер                    
"
        Suzuki RM
              ","
$ 4 500
                                                             
                                                                                   395 730 сом
                                                                      ",https://im.mashina.kg/tachka/images//b/4/d/b4dac92f76a5badc42010bca793fd1ff_240x180.jpg,        мотоцикл                    
"
        Китай (NoName) Электроскутер
              ","
$ 800
                                                             
                                                                                   70 336 сом
                                                                      ",https://im.mashina.kg/tachka/images//9/4/f/94f6cf59d0dea5121bcdf021ee635dd6_240x180.jpg,        скутер                    
"
        Китай (NoName) Электроскутер
              ","
$ 432
                                                             
                                                                                   38 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//9/1/b/91bdb8b80b2a3421744d40c63052a9c2_240x180.jpg,        скутер                    
"
        Yamaha Jog
              ","
$ 682
                                                             
                                                                                   60 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//3/5/c/35cddc85bb03ad002b0bde223a7c9339_240x180.jpg,        скутер                    
"
        Suzuki Address
              ","
$ 466
                                                             
                                                                                   41 000 сом
                                                                      ",,        скутер                    
"
        ABM Alpha
              ","
$ 1 023
                                                             
                                                                                   90 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//0/0/5/005282f1867af03a1bf4f6ea9b327f99_240x180.jpg,        скутер                    
"
        ИЖ 49
              ","
$ 739
                                                             
                                                                                   65 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//a/1/4/a14b8d096860d543b8b877dc6da17299_240x180.jpg,        скутер                    
"
        BMW F 650 CS
              ","
$ 4 500
                                                             
                                                                                   395 640 сом
                                                                      ",https://im.mashina.kg/tachka/images//d/2/f/d2facbe114469decbbe75e3617061fd0_240x180.jpg,        мотоцикл                    
"
        Yamaha YFM 700R
              ","
$ 7 400
                                                             
                                                                                   650 608 сом
                                                                      ",https://im.mashina.kg/tachka/images//3/7/3/373ed71b630264e89af591692760a639_240x180.jpg,        мотовездеход                    
"
        ИЖ Юпитер
              ","
$ 455
                                                             
                                                                                   40 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//9/5/c/95c8220e819bdeb712d0a0059ba74df7_240x180.jpg,        мотоцикл                    
"
        Yamaha XVS 650
              ","
$ 4 500
                                                             
                                                                                   395 640 сом
                                                                      ",https://im.mashina.kg/tachka/images//9/f/1/9f182f10c0e7ca6852150d7c0194088d_240x180.jpg,        мотоцикл                    
"
        Yamaha Jog
              ","
$ 375
                                                             
                                                                                   33 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//a/6/5/a653e4cd95c37877c662bd1e7ee862f7_240x180.jpg,        скутер                    
"
        Suzuki FXR150
              ","
$ 967
                                                             
                                                                                   85 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//2/e/9/2e90fc39f98272697f9409adc8708637_240x180.jpg,        мотоцикл                    
"
        HiSUN Ranger
              ","
$ 31 847
                                                             
                                                                                   2 800 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//5/5/3/55333f51312745c4f7bf7287435a875f_240x180.jpg,        мотовездеход                    
"
        Yamaha Try
              ","
$ 682
                                                             
                                                                                   60 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//e/7/7/e77feb57f8d5ec6434d244f9a2372a5a_240x180.jpg,        скутер                    
"
        Урал M 67
              ","
$ 341
                                                             
                                                                                   30 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//4/9/5/4952961d70c354bb649ff59da4595724_240x180.jpg,        мотоцикл                    
"
        Racer Sagita
              ","
$ 660
                                                             
                                                                                   58 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//6/1/a/61ac2c2ad0a1a1c0b6ff66a1ccdca6c1_240x180.jpg,        скутер                    
"
        CFMoto Jet Max (CF250T-6A)
              ","
$ 2 500
                                                             
                                                                                   219 850 сом
                                                                      ",https://im.mashina.kg/tachka/images//6/7/a/67af41cd9a2012f62cbbb04f18fd42be_240x180.jpg,        скутер                    
"
        Suzuki GSX-R 600
              ","
$ 6 500
                                                             
                                                                                   571 480 сом
                                                                      ",https://im.mashina.kg/tachka/images//e/d/c/edcf31eef5d376897d58d4c4688cfe5b_240x180.jpg,        мотоцикл                    
"
        Honda CBR 600
              ","
$ 3 185
                                                             
                                                                                   280 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//4/c/2/4c22952e5adcce9978ad66185ac256b4_240x180.jpg,        мотоцикл                    
"
        Yamaha YZF 600 S Thundercat
              ","
$ 4 300
                                                             
                                                                                   378 056 сом
                                                                      ",https://im.mashina.kg/tachka/images//c/7/5/c759fca2cac09a0f37473e0f62bcdde7_240x180.jpg,        мотоцикл                    
"
        Kawasaki ZZR
              ","
$ 2 047
                                                             
                                                                                   180 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//1/6/7/16768d0f8631e1b45e89ec23c7c8693c_240x180.jpg,        мотоцикл                    
"
        Kawasaki 250
              ","
$ 1 706
                                                             
                                                                                   150 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//1/b/6/1b6222ec4fcbd7f1b9d67455fb54f187_240x180.jpg,        мотоцикл                    
"
        Honda Pilot
              ","
$ 2 000
                                                             
                                                                                   175 840 сом
                                                                      ",,        багги                    
"
        Элит Комфорт
              ","
$ 682
                                                             
                                                                                   60 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//f/f/9/ff94da58386b15286a02ad9b8d6e9c5a_240x180.jpg,        скутер                    
"
        KAYO T2
              ","
$ 1 934
                                                             
                                                                                   170 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//a/c/a/acaa4ac0a9958b9258e740dcb711cee0_240x180.jpg,        мотоцикл                    
"
        Avantis Hunter
              ","
$ 899
                                                             
                                                                                   79 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//d/e/8/de8f04d93a10ebac37c054a5ea5599ef_240x180.jpg,        мотовездеход                    
"
        Yamaha YZF-R1
              ","
$ 4 600
                                                             
                                                                                   404 432 сом
                                                                      ",https://im.mashina.kg/tachka/images//9/1/3/913c3229187e441e2f55087fcdd9ceee_240x180.jpg,        мотоцикл                    
"
        Yamaha Viking
              ","
$ 10 000
                                                             
                                                                                   879 200 сом
                                                                      ",https://im.mashina.kg/tachka/images//1/9/b/19b710ba2a5a887fbe2e2a832dbce546_240x180.jpg,        снегоход                      
"
        Suzuki GSX 750
              ","
$ 2 730
                                                             
                                                                                   240 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//d/3/0/d309a5c9c3284eb733a62a80dd834462_240x180.jpg,        мотоцикл                    
"
        Honda CBR 929
              ","
$ 4 208
                                                             
                                                                                   370 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//5/1/c/51c72b2fcf0cddcd63674dbf29673667_240x180.jpg,        мотоцикл                    
"
        Honda CBR 600
              ","
$ 4 100
                                                             
                                                                                   360 472 сом
                                                                      ",https://im.mashina.kg/tachka/images//7/3/5/735b400d0c1f19b5883b608ee9712700_240x180.jpg,        мотоцикл                    
