Наименование,Цена,Ссылка на изображение,Краткое описание
"
        CFMoto CF625
              ","
$ 9 000
                                                             
                                                                                   791 280 сом
                                                                      ",https://im.mashina.kg/tachka/images//7/e/3/7e3e0e44c57af62283862cbeff8d4127_240x180.jpg,        мотовездеход                    
"
        CFMoto CF500-X5
              ","
$ 7 800
                                                             
                                                                                   685 776 сом
                                                                      ",https://im.mashina.kg/tachka/images//0/1/4/014ef6c4821d353c3e7ff339dbb86005_240x180.jpg,        мотовездеход                    
"
        Китай (NoName) Электроскутер
              ","
$ 1 354
                                                             
                                                                                   119 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//7/3/2/7320b2af5b722f88b2e58d6422209469_240x180.jpg,        скутер                    
"
        Sachs Speedforce
              ","
$ 1 308
                                                             
                                                                                   115 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//4/0/1/40102023cbcd1102f5e456655cb1d774_240x180.jpg,        скутер                    
"
        BRP Renegade
              ","
$ 28 500
                                                             
                                                                                   2 505 720 сом
                                                                      ",https://im.mashina.kg/tachka/images//9/0/0/9001450a3105ad7e1fbea095028d7ab2_240x180.jpg,        мотовездеход                    
"
        Suzuki SV 650
              ","
$ 2 999
                                                             
                                                                                   263 672 сом
                                                                      ",https://im.mashina.kg/tachka/images//a/5/3/a53ae7334d9216e80bfb4fb3e361611d_240x180.jpg,        мотоцикл                    
"
        BRP Outlander 1000
              ","
$ 30 000
                                                             
                                                                                   2 637 600 сом
                                                                      ",https://im.mashina.kg/tachka/images//3/9/0/390b272413b54e3a16c9294d28b25b9e_240x180.jpg,        мотовездеход                    
"
        BRP Outlander 1000
              ","
$ 27 000
                                                             
                                                                                   2 373 840 сом
                                                                      ",https://im.mashina.kg/tachka/images//0/6/6/066fa873cd014d3daafb4efaab9d415a_240x180.jpg,        мотовездеход                    
"
        BRP Outlander 1000
              ","
$ 27 000
                                                             
                                                                                   2 373 840 сом
                                                                      ",https://im.mashina.kg/tachka/images//f/c/9/fc9aa1f7f95c12bfb008927fb58ea904_240x180.jpg,        мотовездеход                    
"
        Peugeot XP 6
              ","
$ 2 700
                                                             
                                                                                   237 384 сом
                                                                      ",https://im.mashina.kg/tachka/images//c/6/2/c628abd8729564fa895dc67518488942_240x180.jpg,        мотоцикл                    
